Language;Failsafe I/O;
Ada;Yes (exceptions);
ALGOL;Yes (exceptions or return value depending on function);
AutoHotkey;No (global ErrorLevel must be explicitly checked);
Bash;Optional[FSIO 1];
Ballerina;Yes;
Bro;Yes;
C;No[FSIO 2];
C++;Some (STL iostreams throw on failure but C APIs like stdio or POSIX do not)[FSIO 2];
C#;Yes;
COBOL;No;
Common Lisp;Yes ("conditions and restarts" system);
D;Yes (throwing on failure) [FSIO 3];
Eiffel;No – It actually depends on the library and it is not defined by the language;
Erlang;Yes;
Fortran;Yes;
GLBasic;No – Will generally cause program to crash;
Go;Yes (unless result explicitly ignored);
Gosu;Yes;
Harbour;Yes;
Haskell;Yes;
ISLISP;Yes;
Java;Yes;
Julia;Yes;
Kotlin;Yes;
LabVIEW;Yes;
Lua;No (some functions do not warn or throw exceptions);
Mathematica;Yes;
Object Pascal;Some;
Objective-C;Yes (exceptions);
OCaml;Yes (exceptions);
OpenLisp;Yes;
Perl;No[FSIO 4];
Perl 6;Yes;
PHP;Yes;
Python;Yes;
Rebol;Yes;
Rexx;Yes (with optional signal on… trap handling);
RPG;No;
Ruby;Yes;
Rust;Yes (unless result explicitly ignored);
S;Unknown;
Smalltalk;Yes;
Scala;Yes[FSIO 5];
Standard ML;Yes[citation needed];
Swift ? 2.0;Yes (exceptions);
Tcl;Yes;
Visual Basic;Yes;
Visual Prolog;Yes;
Wolfram Language;Yes;
Xojo;Yes;
XPath/XQuery;Yes (exceptions);
Language;Failsafe I/O;
